1&2號溝型,1號溝型,2號溝型,蓋材,蓋厚度,罐材,罐厚度,罐型,蓋展,反邊,軋深,軋厚,封深,機種
"A010250E,Q5030400",A010250E,Q5030400,鐵T4,0.24,鐵T4,0.22,C5A,6.53,2.94,3.25,3.7,,M446
Q0490110Q0634400,Q0490110,Q0634400,鋁,0.25,鋁,0.22,C5A,6.36,2.72,3.2,3.31,,M446
Q4350210Q0070260,Q4350210,Q0070260,鐵T4,0.23,鐵T4,0.21,307D,6.64,2.59,3.7,3.97,4.14,C9
Q4680300Q4680400,Q4680300,Q4680400,鋁,0.22,鋁,0.18,200D,5.5,2.1,6.65,6.75,6.85,B45
Q4680300Q4680400,Q4680300,Q4680400,鋁,0.24,鐵T4,0.2,202D,6.79,2.54,6.02,6.15,6.15,B65A
Q4920100Q0070130,Q4920100,Q0070130,鐵T4,0.19,鐵T5,0.17,200D,6,2.3,2.98,3.15,3.16,B49
Q4920100Q0070130,Q4920100,Q0070130,鐵T4,0.21,鐵T4,0.2,202D,6.12,2.78,2.95,3.26,,B15
Q4920100Q0070130,Q4920100,Q0070130,鐵T4,0.23,鐵T3,0.23,300D,6.45,2.65,4.6,4.91,5.02,A23L
Q5430100Q4830400,Q5430100,Q4830400,鐵T4,0.23,鐵T4,0.21,401D,6.34,2.71,3.2,3.32,3.65,C3A
Q5510100Q0070260,Q5510100,Q0070260,鐵T3,0.31,鐵T4,0.18,211D,7.13,2.8,2.75,,,B93
